review_id,employee_id,rating,manager_name,feedback,Review_Date
PRF000036,EMP00449,1,"Omaja Kashyap","Needs Improvement",2023-09-12
PRF000037,EMP01132,1,"Ekansh Samra","Below Average",2024-05-11
PRF000038,EMP00676,2,"Theodore Sha","Meets Expectations",2023-10-17
PRF000039,EMP00405,2,"Charles Bera","Exceeds Expectations",2024-07-07
PRF000040,EMP01185,1,"Osha Sachdev","Excellent Performer",2024-11-13
PRF000041,EMP00254,2,"Anthony Kanda","Meets Expectations",2023-09-12
PRF000042,EMP00206,1,"Shivani Varughese",Outstanding,2024-12-20
PRF000043,EMP00798,3,"Jagvi Parmar",Outstanding,2026-06-05
PRF000044,EMP00776,3,"Omaja Kashyap","Excellent Performer",2023-12-05
PRF000045,EMP00503,2,"Dhruv Wagle","Exceeds Expectations",2026-02-03
PRF000046,EMP00124,1,"Tanay Shetty",Outstanding,2024-05-11
PRF000047,EMP00654,1,"Ojasvi Dasgupta","Below Average",2023-12-25
PRF000048,EMP00134,3,"Ojasvi Dasgupta","Excellent Performer",2024-11-03
PRF000049,EMP00651,2,"Harinakshi Varughese","Excellent Performer",2024-05-29
PRF000050,EMP00044,2,"Osha Sachdev","Meets Expectations",2023-11-17
PRF000051,EMP00746,1,"Charan Sen","Below Average",2025-05-22
PRF000052,EMP00632,1,"Azaan Grewal","Below Average",2024-11-20
PRF000053,EMP00748,3,"Charan Sen","Needs Improvement",2026-02-20
PRF000054,EMP00154,3,"Faqid Prabhu","Excellent Performer",2025-05-19
PRF000055,EMP01155,3,NULL,"Needs Improvement",2024-08-25
PRF000056,EMP00619,5,"Osha Sachdev","Needs Improvement",2024-12-14
PRF000057,EMP00661,2,"Pavani Magar","Meets Expectations",2026-01-05
PRF000058,EMP00898,5,"Shivani Varughese","Excellent Performer",2025-12-03
PRF000059,EMP00294,4,"Nikita Dua","Needs Improvement",2025-06-02
PRF000060,EMP00499,4,"Charan Sen",Outstanding,2025-04-20
PRF000061,EMP00297,4,"Vasudha Borde",Outstanding,2025-11-25
PRF000062,EMP00383,2,"Omaja Kashyap","Exceeds Expectations",2026-04-21
PRF000063,EMP00764,5,"Chanakya Dada",Outstanding,2025-03-23
PRF000064,EMP00664,5,"Farhan Sharaf","Excellent Performer",2023-09-26
PRF000065,EMP01013,4,"Damini Mohanty","Excellent Performer",2026-08-04
PRF000066,EMP00191,4,"Ojasvi Dasgupta","Excellent Performer",2025-04-23
PRF000067,EMP01207,4,"Gautam Sinha","Excellent Performer",2024-11-28
PRF000068,EMP00428,3,"Dhriti Nagar",Outstanding,2026-02-13
PRF000069,EMP00784,2,NULL,"Meets Expectations",2026-01-06
PRF000070,EMP00668,2,"Anthony Kanda",Outstanding,2023-10-13
PRF000071,EMP01220,1,"Falguni Halder","Below Average",2025-02-05
PRF000072,EMP00656,2,"Azaan Grewal","Meets Expectations",2023-07-10
PRF000073,EMP00555,2,"Harinakshi Varughese","Meets Expectations",2025-03-04
PRF000074,EMP00680,3,"Charan Sen","Excellent Performer",2026-05-16
PRF000075,EMP00721,4,"Avni Chatterjee",Outstanding,2025-01-14
PRF000076,EMP00665,5,"Avni Chatterjee","Excellent Performer",2023-09-04
PRF000077,EMP00493,1,"Gautam Sinha","Below Average",2024-09-08
PRF000078,EMP01126,1,"Ojasvi Dasgupta","Below Average",2023-12-08
PRF000079,EMP00133,1,"Damini Mohanty","Below Average",2024-03-19
PRF000080,EMP00441,2,"Indira Balakrishnan",Outstanding,2024-10-21
PRF000081,EMP00287,2,"Upma Pant","Exceeds Expectations",2025-12-31
PRF000082,EMP01177,2,"Ojasvi Dasgupta","Exceeds Expectations",2024-05-04
PRF000083,EMP00565,5,"Kavya Kadakia",Outstanding,2025-01-06
PRF000084,EMP00223,2,NULL,"Exceeds Expectations",2023-09-17
PRF000085,EMP00514,2,"Theodore Sha","Excellent Performer",2023-11-05
PRF000086,EMP00374,2,"Veda Sahota","Meets Expectations",2026-03-25
PRF000087,EMP01016,2,"Veda Sahota","Meets Expectations",2025-12-20
PRF000088,EMP00988,1,"Theodore Sha","Excellent Performer",2024-07-09
PRF000089,EMP00877,2,"Anthony Kanda",Outstanding,2026-02-20
PRF000090,EMP00657,2,"Udant Bala","Meets Expectations",2025-04-25
PRF000091,EMP00193,2,"Damini Mohanty","Exceeds Expectations",2025-01-17
PRF000092,EMP00819,4,"Chanakya Dada",Outstanding,2024-02-03
PRF000093,EMP00888,2,"Theodore Sha","Exceeds Expectations",2025-11-30
PRF000094,EMP00196,2,"Nikita Dua",Outstanding,2024-02-08
PRF000095,EMP00893,1,"Xavier Gole","Excellent Performer",2024-01-21
PRF000096,EMP00360,2,"Pavani Magar","Exceeds Expectations",2024-07-07
PRF000097,EMP00340,2,"Pavani Magar",Outstanding,2026-05-22
PRF000098,EMP00356,4,"Falguni Halder",Outstanding,2025-01-13
PRF000099,EMP00981,1,"Charles Bera","Excellent Performer",2025-05-15
PRF000100,EMP01078,5,"Theodore Sha",Outstanding,2024-02-26
PRF000101,EMP00566,3,"Saumya Srinivas","Needs Improvement",2025-10-11
PRF000102,EMP00145,5,"Damini Mohanty",Outstanding,2026-05-17
PRF000103,EMP00385,2,NULL,"Meets Expectations",2023-12-17
PRF000104,EMP00950,2,NULL,"Exceeds Expectations",2024-11-20
PRF000105,EMP00322,2,"Xavier Gole",Outstanding,2025-10-23
PRF000106,EMP00214,5,"Niharika Nagi",Outstanding,2024-03-27
PRF000107,EMP01047,1,"Harinakshi Varughese",Outstanding,2025-06-07
PRF000108,EMP00507,2,"Falguni Halder","Meets Expectations",2024-09-11
PRF000109,EMP01143,2,"Indira Balakrishnan","Exceeds Expectations",2025-01-13
PRF000110,EMP00789,4,"Neelima Bhasin","Needs Improvement",2025-06-14
PRF000111,EMP00688,5,"Kiaan Sani",Outstanding,2023-10-09
PRF000112,EMP01187,2,"Upma Pant",Outstanding,2024-04-07
PRF000113,EMP00264,2,"Neelima Bhasin","Needs Improvement",2024-07-20
PRF000114,EMP00051,1,"Niharika Nagi","Below Average",2025-01-25
PRF000115,EMP00537,5,"Veda Sahota","Needs Improvement",2026-03-21
PRF000116,EMP00099,2,"Harinakshi Varughese","Excellent Performer",2025-07-25
PRF000117,EMP00204,1,"Ojasvi Dasgupta",Outstanding,2024-05-19
PRF000118,EMP00610,1,"Farhan Sharaf","Excellent Performer",2023-09-10
PRF000119,EMP00931,2,"Kavya Kadakia","Excellent Performer",2024-12-02
PRF000120,EMP00119,1,"Vincent Loyal","Below Average",2026-04-03
PRF000121,EMP00563,2,"Udant Bala","Meets Expectations",2025-01-22
PRF000122,EMP01195,3,"Theodore Sha","Needs Improvement",2026-03-01
PRF000123,EMP01022,2,"Theodore Sha",Outstanding,2025-04-22
PRF000124,EMP01087,5,"Shivani Varughese","Excellent Performer",2024-02-04
PRF000125,EMP01120,3,"Osha Sachdev","Needs Improvement",2026-07-19
PRF000126,EMP00842,3,"Anthony Kanda",Outstanding,2023-12-31
PRF000127,EMP00134,5,"Pavani Magar","Needs Improvement",2025-06-18
PRF000128,EMP01006,2,"Kavya Kadakia","Exceeds Expectations",2024-09-16
PRF000129,EMP01045,4,"Dhruv Wagle","Needs Improvement",2024-03-18
PRF000130,EMP00501,1,"Chanakya Dada","Below Average",2025-05-14
PRF000131,EMP01023,4,"Avni Chatterjee","Excellent Performer",2025-05-14
PRF000132,EMP00517,2,"Jagvi Parmar","Exceeds Expectations",2023-10-22
PRF000133,EMP01170,5,"Ranveer Sood","Needs Improvement",2025-12-23
PRF000134,EMP00370,2,"Damini Mohanty","Meets Expectations",2025-02-21
PRF000135,EMP00836,2,"Udant Bala","Meets Expectations",2024-04-24
PRF000136,EMP00514,2,"Pavani Magar","Meets Expectations",2025-04-18
PRF000137,EMP01173,3,"Osha Sachdev","Needs Improvement",2025-12-19
PRF000138,EMP00565,3,"Neelima Bhasin","Needs Improvement",2025-01-28
PRF000139,EMP00325,2,"Farhan Sharaf","Meets Expectations",2025-10-03
PRF000140,EMP00101,5,"Pavani Magar",Outstanding,2023-11-10
PRF000141,EMP00806,1,"Chanakya Dada","Needs Improvement",2023-12-07
PRF000142,EMP00145,2,NULL,"Meets Expectations",2024-08-06
PRF000143,EMP00867,3,"Dipta Bhatti","Needs Improvement",2026-05-09
PRF000144,EMP00300,2,"Saumya Srinivas","Excellent Performer",2023-09-04
PRF000145,EMP00667,5,"Tanay Shetty","Excellent Performer",2024-10-21
PRF000146,EMP00308,1,"Avni Chatterjee",Outstanding,2026-03-15
PRF000147,EMP00532,1,"Tanay Shetty","Below Average",2025-08-17
PRF000148,EMP00314,2,"Veda Sahota","Meets Expectations",2024-01-26
PRF000149,EMP00601,2,"Azaan Grewal","Meets Expectations",2025-10-16
PRF000150,EMP00937,5,"Kavya Kadakia","Excellent Performer",2024-10-16
PRF000151,EMP00140,2,"Pavani Magar","Excellent Performer",2026-04-28
PRF000152,EMP00849,1,"Gautam Sinha","Below Average",2025-12-26
PRF000153,EMP01079,3,"Kiaan Sani","Needs Improvement",2024-12-10
PRF000154,EMP00027,3,"Charan Sen","Needs Improvement",2025-03-03
PRF000155,EMP00947,1,"Farhan Sharaf",Outstanding,2025-04-16
PRF000156,EMP00880,2,"Arjun Prasad","Exceeds Expectations",2023-12-13
PRF000157,EMP00619,1,"Omaja Kashyap","Excellent Performer",2026-01-06
PRF000158,EMP00908,1,"Azaan Grewal","Excellent Performer",2025-04-16
PRF000159,EMP00142,2,"Vincent Loyal","Meets Expectations",2024-09-02
PRF000160,EMP00523,2,"Ranveer Sood","Exceeds Expectations",2023-12-21
PRF000161,EMP00284,3,"Charan Sen","Needs Improvement",2023-09-26
PRF000162,EMP01105,1,"Dipta Bhatti","Needs Improvement",2025-10-15
PRF000163,EMP00949,2,"Omaja Kashyap","Needs Improvement",2026-06-03
PRF000164,EMP01017,2,"Vincent Loyal","Meets Expectations",2023-08-21
PRF000165,EMP00438,1,"Kiaan Sani",Outstanding,2026-04-19
PRF000166,EMP01078,5,"Neelima Bhasin",Outstanding,2025-10-09
PRF000167,EMP00029,2,"Dhriti Nagar","Exceeds Expectations",2024-12-08
PRF000168,EMP00425,5,"Tanay Shetty",Outstanding,2025-11-11
PRF000169,EMP00648,2,"Vincent Loyal","Meets Expectations",2025-05-04
PRF000170,EMP00427,1,"Dhruv Wagle","Below Average",2026-04-09
PRF000171,EMP01078,2,"Falguni Halder","Exceeds Expectations",2024-04-27
PRF000172,EMP00601,2,"Damini Mohanty","Exceeds Expectations",2025-06-03
PRF000173,EMP00784,2,"Gautam Sinha","Excellent Performer",2024-11-01
PRF000174,EMP01009,5,"Veda Sahota","Excellent Performer",2025-03-22
PRF000175,EMP00606,3,"Chanakya Dada","Excellent Performer",2024-08-10
PRF000176,EMP00439,1,"Gautam Sinha","Below Average",2026-07-14
PRF000177,EMP01196,2,"Harinakshi Varughese","Exceeds Expectations",2023-09-30
PRF000178,EMP00550,1,"Omaja Kashyap","Excellent Performer",2023-10-25
PRF000179,EMP00149,1,"Osha Sachdev","Below Average",2026-07-07
PRF000180,EMP00252,1,"Vasudha Borde","Needs Improvement",2023-10-31
PRF000181,EMP00186,5,"Osha Sachdev","Excellent Performer",2026-07-27
PRF000182,EMP00656,1,"Farhan Sharaf","Below Average",2025-11-08
PRF000183,EMP00792,3,"Arjun Prasad",Outstanding,2024-04-06
PRF000184,EMP00481,2,"Ranveer Sood","Exceeds Expectations",2026-07-17
PRF000185,EMP01117,2,"Niharika Nagi","Exceeds Expectations",2023-09-17
PRF000186,EMP01013,2,"Faqid Prabhu","Exceeds Expectations",2025-03-14
PRF000187,EMP01092,3,"Farhan Sharaf","Needs Improvement",2025-09-23
PRF000188,EMP01055,1,"Kavya Kadakia","Below Average",2024-03-01
PRF000189,EMP00449,2,"Vincent Loyal","Meets Expectations",2025-07-23
PRF000190,EMP00199,1,"Niharika Nagi","Below Average",2023-12-31
PRF000191,EMP00524,1,"Faqid Prabhu",Outstanding,2025-03-25
PRF000192,EMP00611,3,"Ekansh Samra","Needs Improvement",2024-10-26
PRF000193,EMP00994,1,"Pavani Magar","Excellent Performer",2024-09-24
PRF000194,EMP00379,1,"Ranveer Sood","Below Average",2026-03-28
PRF000195,EMP00754,2,"Dhriti Nagar","Needs Improvement",2024-09-27
PRF000196,EMP00301,4,"Harinakshi Varughese","Needs Improvement",2024-02-05
PRF000197,EMP00139,1,"Chanakya Dada","Below Average",2024-09-27
PRF000198,EMP00250,1,"Ranveer Sood","Below Average",2024-12-23
PRF000199,EMP01091,1,"Charan Sen",Outstanding,2026-07-17
PRF000200,EMP01070,2,"Kiaan Sani","Meets Expectations",2024-04-02
PRF000201,EMP01092,1,"Farhan Sharaf","Below Average",2025-03-18
PRF000202,EMP00974,1,"Ranveer Sood","Below Average",2024-01-30
PRF000203,EMP00365,4,"Anthony Kanda","Excellent Performer",2025-09-18
PRF000204,EMP01046,2,"Harinakshi Varughese","Meets Expectations",2026-01-23
PRF000205,EMP00821,3,"Udant Bala","Needs Improvement",2023-10-30
PRF000206,EMP00235,2,"Kiaan Sani","Meets Expectations",2023-02-10
PRF000207,EMP00044,2,"Kiaan Sani","Exceeds Expectations",2024-07-29
PRF000208,EMP00058,2,"Udant Bala","Needs Improvement",2026-04-03
PRF000209,EMP01199,3,"Anthony Kanda","Needs Improvement",2026-05-04
PRF000210,EMP00667,2,"Ojasvi Dasgupta",Outstanding,2025-07-07
PRF000211,EMP00238,5,"Veda Sahota","Excellent Performer",2026-01-01
PRF000212,EMP01065,2,"Chavvi Devan","Excellent Performer",2023-10-15
PRF000213,EMP00733,1,"Arjun Prasad",Outstanding,2023-11-17
PRF000214,EMP00808,5,"Ranveer Sood","Needs Improvement",2024-03-06
PRF000215,EMP00431,2,"Dhruv Wagle","Meets Expectations",2025-03-28
PRF000216,EMP00904,5,"Chanakya Dada",Outstanding,2025-02-22
PRF000217,EMP00174,3,"Azaan Grewal","Needs Improvement",2025-09-20
PRF000218,EMP01065,2,"Udant Bala","Meets Expectations",2025-03-27
PRF000219,EMP01026,2,"Indira Balakrishnan","Excellent Performer",2026-04-25
PRF000220,EMP00864,3,"Ojasvi Dasgupta","Needs Improvement",2025-05-28
PRF000221,EMP01043,4,"Dipta Bhatti","Needs Improvement",2025-07-15
PRF000222,EMP00145,2,"Gautam Sinha",Outstanding,2025-08-20
PRF000223,EMP00457,2,"Avni Chatterjee","Excellent Performer",2025-05-25
PRF000224,EMP00453,4,NULL,"Needs Improvement",2024-05-19
PRF000225,EMP00367,2,"Saumya Srinivas","Meets Expectations",2025-11-29
PRF000226,EMP00667,3,"Gautam Sinha",Outstanding,2024-04-27
PRF000227,EMP00603,1,"Dhriti Nagar","Needs Improvement",2026-04-29
PRF000228,EMP00875,1,NULL,"Below Average",2024-02-13
PRF000229,EMP00724,2,"Damini Mohanty","Excellent Performer",2026-01-22
PRF000230,EMP01216,2,"Gautam Sinha","Meets Expectations",2024-02-07
PRF000231,EMP00619,2,"Ranveer Sood","Meets Expectations",2026-07-22
PRF000232,EMP00186,2,"Pavani Magar",Outstanding,2025-04-15
PRF000233,EMP00858,2,"Vincent Loyal","Excellent Performer",2023-08-18
PRF000234,EMP00829,1,"Shivani Varughese","Below Average",2024-08-07
PRF000235,EMP00591,1,"Falguni Halder","Below Average",2024-12-02
PRF000236,EMP00724,2,"Veda Sahota","Meets Expectations",2023-08-22
PRF000237,EMP00013,2,"Chanakya Dada","Meets Expectations",2026-05-20
PRF000238,EMP00836,3,"Chanakya Dada","Needs Improvement",2025-12-25
PRF000239,EMP01135,2,"Tanay Shetty","Needs Improvement",2024-09-24
PRF000240,EMP00732,2,"Falguni Halder",Outstanding,2025-04-09
PRF000241,EMP00653,2,"Theodore Sha","Meets Expectations",2023-08-31
PRF000242,EMP00911,1,"Dhruv Wagle",Outstanding,2023-11-21
PRF000243,EMP00575,1,"Indira Balakrishnan","Below Average",2024-08-17
PRF000244,EMP00614,1,"Gautam Sinha","Excellent Performer",2024-03-03
PRF000245,EMP00902,1,"Indira Balakrishnan","Below Average",2023-08-25
PRF000246,EMP00734,2,"Kavya Kadakia","Meets Expectations",2024-10-07
PRF000247,EMP01098,5,"Azaan Grewal","Excellent Performer",2023-09-26
PRF000248,EMP00769,3,"Theodore Sha","Needs Improvement",2025-03-19
PRF000249,EMP00429,4,"Gautam Sinha","Needs Improvement",2023-09-20
PRF000250,EMP00727,2,"Dhriti Nagar","Exceeds Expectations",2025-02-10
PRF000251,EMP00935,5,"Dipta Bhatti","Needs Improvement",2023-10-31
PRF000252,EMP00030,4,"Falguni Halder","Excellent Performer",2024-09-25
PRF000253,EMP00852,3,"Osha Sachdev","Needs Improvement",2026-02-06
PRF000254,EMP00038,1,"Ojasvi Dasgupta","Below Average",2026-02-21
PRF000255,EMP01224,5,"Anthony Kanda",Outstanding,2026-03-07
PRF000256,EMP00466,5,"Gautam Sinha",Outstanding,2023-08-16
PRF000257,EMP01087,3,"Charan Sen","Needs Improvement",2024-12-27
PRF000258,EMP01180,1,"Jagvi Parmar","Below Average",2025-01-06
PRF000259,EMP00182,2,"Shivani Varughese","Exceeds Expectations",2025-06-20
PRF000260,EMP00304,1,"Ekansh Samra","Below Average",2024-01-08
PRF000261,EMP00662,1,"Charles Bera","Excellent Performer",2024-01-24
PRF000262,EMP00962,2,"Chavvi Devan","Exceeds Expectations",2025-12-10
PRF000263,EMP00785,2,"Farhan Sharaf","Excellent Performer",2025-03-24
PRF000264,EMP00148,3,"Nikita Dua","Needs Improvement",2023-09-23
PRF000265,EMP00690,3,"Neelima Bhasin","Needs Improvement",2025-01-18
PRF000266,EMP00374,3,"Azaan Grewal","Needs Improvement",2025-03-27
PRF000267,EMP00771,2,"Udant Bala","Exceeds Expectations",2025-11-03
PRF000268,EMP00488,1,"Veda Sahota",Outstanding,2024-04-26
PRF000269,EMP01011,2,"Tanay Shetty","Excellent Performer",2024-05-18
PRF000270,EMP00063,5,"Anthony Kanda","Needs Improvement",2025-03-07
PRF000271,EMP00033,2,NULL,"Exceeds Expectations",2024-02-23
PRF000272,EMP00676,5,"Kiaan Sani","Excellent Performer",2023-09-07
PRF000273,EMP00942,2,"Neelima Bhasin","Meets Expectations",2024-07-20
PRF000274,EMP00778,3,"Saumya Srinivas","Needs Improvement",2025-10-23
PRF000275,EMP00889,1,"Pavani Magar","Excellent Performer",2024-05-18
PRF000276,EMP00344,2,"Harinakshi Varughese","Meets Expectations",2024-08-22
PRF000277,EMP01018,5,"Kiaan Sani",Outstanding,2024-12-14
PRF000278,EMP00726,3,"Dhriti Nagar","Needs Improvement",2025-11-29
PRF000279,EMP01113,3,"Avni Chatterjee","Needs Improvement",2024-01-24
PRF000280,EMP00879,3,"Theodore Sha","Needs Improvement",2025-11-14
PRF000281,EMP00677,1,"Gautam Sinha","Below Average",2024-05-24
PRF000282,EMP00578,5,"Veda Sahota","Excellent Performer",2024-08-16
PRF000283,EMP00006,1,"Kiaan Sani","Below Average",2025-01-23
PRF000284,EMP00940,2,"Charan Sen","Exceeds Expectations",2025-10-03
PRF000285,EMP00411,2,"Shivani Varughese","Meets Expectations",2023-03-11
PRF000286,EMP01168,1,"Xavier Gole","Needs Improvement",2025-03-06
PRF000287,EMP00735,2,"Ojasvi Dasgupta","Exceeds Expectations",2023-12-09
PRF000288,EMP00021,2,NULL,"Meets Expectations",2025-08-15
PRF000289,EMP00342,2,"Shivani Varughese","Meets Expectations",2026-02-09
PRF000290,EMP00726,2,"Saumya Srinivas","Meets Expectations",2024-12-08
PRF000291,EMP00289,3,"Falguni Halder","Excellent Performer",2025-05-24
PRF000292,EMP00917,3,"Faqid Prabhu","Needs Improvement",2024-05-04
PRF000293,EMP00746,2,NULL,"Excellent Performer",2024-09-07
PRF000294,EMP00081,1,"Neelima Bhasin","Excellent Performer",2024-01-29
PRF000295,EMP00138,2,"Harinakshi Varughese","Exceeds Expectations",2026-05-30
PRF000296,EMP00234,2,"Neelima Bhasin","Needs Improvement",2026-02-06
PRF000297,EMP01058,1,"Ojasvi Dasgupta","Below Average",2025-07-11
PRF000298,EMP00539,4,"Dhriti Nagar","Needs Improvement",2025-02-07
PRF000299,EMP00360,2,"Ranveer Sood","Exceeds Expectations",2024-02-13
PRF000300,EMP00127,2,"Veda Sahota","Meets Expectations",2026-02-06
PRF000301,EMP00040,3,"Shivani Varughese","Needs Improvement",2024-11-05
PRF000302,EMP01175,3,"Kavya Kadakia","Needs Improvement",2024-05-10
PRF000303,EMP01167,5,"Charles Bera",Outstanding,2023-11-13
PRF000304,EMP00570,3,"Udant Bala","Needs Improvement",2025-12-19
PRF000305,EMP00737,4,"Charan Sen","Excellent Performer",2024-02-14
PRF000306,EMP00863,2,NULL,"Needs Improvement",2024-11-11
PRF000307,EMP00256,4,"Osha Sachdev","Excellent Performer",2026-04-13
PRF000308,EMP01051,3,"Falguni Halder","Needs Improvement",2024-08-28
PRF000309,EMP01166,1,"Jagvi Parmar",Outstanding,2023-08-07
PRF000310,EMP00423,2,"Ranveer Sood","Exceeds Expectations",2023-10-27
PRF000311,EMP00582,2,"Harinakshi Varughese","Exceeds Expectations",2025-03-24
PRF000312,EMP00595,4,"Osha Sachdev",Outstanding,2025-07-30
PRF000313,EMP00234,3,"Kavya Kadakia","Needs Improvement",2024-11-20
PRF000314,EMP00420,5,NULL,"Excellent Performer",2023-08-28
PRF000315,EMP00542,4,"Charan Sen","Excellent Performer",2024-02-28
PRF000316,EMP00175,5,"Chanakya Dada","Needs Improvement",2024-01-05
PRF000317,EMP00230,2,"Veda Sahota","Exceeds Expectations",2023-12-16
PRF000318,EMP00450,4,"Chavvi Devan","Needs Improvement",2026-03-01
PRF000319,EMP00199,1,"Kiaan Sani","Needs Improvement",2023-11-06
PRF000320,EMP01202,1,"Harinakshi Varughese","Needs Improvement",2023-02-10
PRF000321,EMP00983,3,NULL,"Excellent Performer",2024-11-17
PRF000322,EMP00364,5,"Falguni Halder","Needs Improvement",2026-02-17
PRF000323,EMP01005,5,"Udant Bala",Outstanding,2024-02-17
PRF000324,EMP00627,1,"Anthony Kanda","Below Average",2024-12-24
PRF000325,EMP01144,5,"Veda Sahota","Excellent Performer",2026-06-19
PRF000326,EMP00414,3,"Indira Balakrishnan","Needs Improvement",2024-08-02
PRF000327,EMP00748,2,"Arjun Prasad","Meets Expectations",2025-07-01
PRF000328,EMP00761,1,"Tanay Shetty","Below Average",2024-01-12
PRF000329,EMP00888,3,"Indira Balakrishnan","Needs Improvement",2025-02-07
PRF000330,EMP01137,2,"Tanay Shetty","Exceeds Expectations",2025-05-09
PRF000331,EMP00476,2,NULL,"Meets Expectations",2025-08-17
PRF000332,EMP00115,2,"Chanakya Dada","Excellent Performer",2024-05-15
PRF000333,EMP00114,1,"Damini Mohanty","Below Average",2024-08-13
PRF000334,EMP00377,4,"Dhruv Wagle","Excellent Performer",2026-04-27
PRF000335,EMP00600,1,"Dipta Bhatti","Excellent Performer",2023-09-10
PRF000336,EMP00146,5,"Nikita Dua",Outstanding,2025-10-03
PRF000337,EMP00491,2,"Indira Balakrishnan","Exceeds Expectations",2025-11-20
PRF000338,EMP00438,2,"Shivani Varughese",Outstanding,2024-10-18
PRF000339,EMP00230,1,"Avni Chatterjee","Below Average",2024-10-14
PRF000340,EMP00671,4,"Falguni Halder",Outstanding,2024-07-26
PRF000341,EMP01058,4,"Omaja Kashyap","Excellent Performer",2024-06-02
PRF000342,EMP00033,4,"Nikita Dua",Outstanding,2025-07-01
PRF000343,EMP01118,5,"Dhriti Nagar","Needs Improvement",2026-03-21
PRF000344,EMP00638,2,"Neelima Bhasin","Needs Improvement",2023-10-21
PRF000345,EMP00977,2,"Omaja Kashyap","Exceeds Expectations",2026-02-23
PRF000346,EMP00354,3,"Chanakya Dada","Needs Improvement",2026-04-21
PRF000347,EMP00726,2,"Dhruv Wagle","Needs Improvement",2025-05-21
PRF000348,EMP00295,1,"Indira Balakrishnan","Below Average",2024-10-03
PRF000349,EMP01163,1,"Shivani Varughese",Outstanding,2026-01-07
PRF000350,EMP00948,1,"Vincent Loyal","Below Average",2024-02-16
PRF000351,EMP00696,2,"Udant Bala",Outstanding,2024-05-05
PRF000352,EMP00759,2,"Dhriti Nagar","Meets Expectations",2026-02-21
PRF000353,EMP00736,1,NULL,"Needs Improvement",2023-11-03
PRF000354,EMP01002,3,"Veda Sahota","Needs Improvement",2024-03-11
PRF000355,EMP00973,4,"Azaan Grewal","Needs Improvement",2026-04-11
PRF000356,EMP00866,2,"Arjun Prasad","Meets Expectations",2025-06-27
PRF000357,EMP00191,1,"Ranveer Sood","Below Average",2024-12-15
PRF000358,EMP00935,5,"Dipta Bhatti",Outstanding,2024-08-18
PRF000359,EMP01195,1,"Kavya Kadakia",Outstanding,2025-01-20
PRF000360,EMP00161,5,"Farhan Sharaf","Needs Improvement",2025-06-03
PRF000361,EMP00750,2,"Ekansh Samra","Excellent Performer",2023-01-09
PRF000362,EMP00329,2,"Damini Mohanty","Exceeds Expectations",2024-08-10
PRF000363,EMP00815,4,"Charan Sen","Needs Improvement",2024-09-01
